a 아
jeong 姃
jeong 婧
jeong 婷
jeong 定
jeong 幀
jeong 庭
jeong 廷
jeong 征
jeong 怔
jeong 情
jeong 挺
jeong 掟
jeong 政
jeong 整
jeong 旌
jeong 晶
jeong 晸
jeong 柾
jeong 桯
jeong 梃
jeong 棖
jeong 楨
jeong 檉
jeong 正
jeong 汀
jeong 淀
jeong 淨
jeong 渟
jeong 湞
jeong 瀞
jeong 灯
jeong 炡
jeong 玎
jeong 珵
jeong 珽
jeong 町
jeong 疔
jeong 睛
jeong 碇
jeong 禎
jeong 程
jeong 穽
jeong 筳
jeong 精
jeong 綎
jeong 艇
jeong 莛
jeong 訂
jeong 証
jeong 諪
jeong 貞
jeong 遉
jeong 鄭
jeong 酊
jeong 酲
jeong 釘
jeong 鉦
jeong 鋌
jeong 鋥
jeong 錠
jeong 霆
jeong 靖
jeong 靚
jeong 靜
jeong 頂
jeong 鼎
jeop 接
jeop 摺
jeop 椄
jeop 楪
jeop 蜨
jeop 蝶
jeop 褶
jeop 跕
jeop 蹀
jeop 鰈
jeuk 則
jeuk 即
jeuk 卽
jeuk 喞
jeul 櫛
jeul 騭
jeung 丞
jeung 增
jeung 嶒
jeung 憎
jeung 拯
jeung 曾
jeung 烝
jeung 甑
jeung 症
jeung 矰
jeung 繒
jeung 罾
jeung 蒸
jeung 證
jeung 贈
jeup 楫
jeup 檝
jeup 汁
jeup 緝
jeup 葺
jeup 蕺
ji 之
ji 只
ji 咫
ji 地
ji 址
ji 坻
ji 墀
ji 志
ji 扺
ji 持
ji 指
ji 摯
ji 支
ji 旨
ji 智
ji 枝
ji 枳
ji 榰
ji 止
ji 氏
ji 池
ji 沚
ji 泜
ji 漬
ji 痣
ji 知
ji 砥
ji 祇
ji 祉
ji 祗
ji 秪
ji 篪
ji 紙
ji 耆
ji 肢
ji 脂
ji 至
ji 舐
ji 芝
ji 芷
ji 蜘
ji 誌
ji 識
ji 質
ji 贄
ji 趾
ji 踟
ji 躓
ji 軹
ji 遲
ji 阯
ji 鮨
ji 鷙
ji 識
jik 直
jik 禝
jik 稙
jik 稷
jik 織
jik 職
jil 佚
jil 侄
jil 叱
jil 垤
jil 姪
jil 嫉
jil 帙
jil 桎
jil 瓆
jil 疾
jil 秩
jil 窒
jil 絰
jil 膣
jil 蒺
jil 蛭
jil 質
jil 跌
jil 迭
jil 郅
jil 鑕
jim 卜
jim 斟
jim 朕
jim 鴆
jin 侲
jin 儘
jin 唇
jin 嗔
jin 塡
jin 塵
jin 振
jin 搢
jin 晉
jin 晋
jin 桭
jin 榛
jin 殄
jin 津
jin 溱
jin 珍
jin 珒
jin 瑨
jin 璡
jin 甄
jin 畛
jin 疹
jin 盡
jin 眞
jin 瞋
jin 秦
jin 稹
jin 縉
jin 縝
jin 臻
jin 蓁
jin 蔯
jin 薦
jin 螴
jin 袗
jin 診
jin 賑
jin 趁
jin 軫
jin 辰
jin 進
jin 鉁
jin 鎭
jin 陣
jin 陳
jin 震
jin 鬒
jing 徵
jing 懲
jing 澂
jing 澄
jing 瀓
jing 癥
jing 瞪
jip 什
jip 咠
jip 執
jip 戢
jip 揖
jip 楫
jip 潗
jip 緝
jip 輯
jip 鏶
jip 集
jip 什
jjeung 證
jjung 重
jo 且
jo 佻
jo 俎
jo 傮
jo 兆
jo 凋
jo 刁
jo 助
jo 厝
jo 召
jo 嘈
jo 嘲
jo 噪
jo 嬥
jo 弔
jo 彫
jo 徂
jo 懆
jo 找
jo 挑
jo 措
jo 操
jo 早
jo 晁
jo 曹
jo 曺
jo 朝
jo 條
jo 棗
jo 槽
jo 殂
jo 漕
jo 潮
jo 澡
jo 炤
jo 照
jo 燥
jo 爪
jo 琱
jo 璪
jo 皁
jo 眺
jo 祖
jo 祚
jo 祧
jo 租
jo 稠
jo 窕
jo 竈
jo 笊
jo 粗
jo 糙
jo 糟
jo 糶
jo 組
jo 絛
jo 絩
jo 繰
jo 肇
jo 胙
jo 臊
jo 艚
jo 蓚
jo 蔦
jo 藻
jo 蚤
jo 蜩
jo 詔
jo 誂
jo 調
jo 譟
jo 走
jo 趙
jo 躁
jo 造
jo 遭
jo 釣
jo 鈟
jo 銚
jo 鋽
jo 錯
jo 鑿
jo 阻
jo 雕
jo 鯛
jo 鳥
jo 鵰
jo 鼂
joe 罪
jok 族
jok 瘯
jok 簇
jok 足
jok 鏃
jol 卒
jol 拙
jol 猝
jon 存
jon 尊
jon 拵
jong 伀
jong 倧
jong 宗
jong 從
jong 悰
jong 慒
jong 慫
jong 柊
jong 棕
jong 椶
jong 樅
jong 淙
jong 琮
jong 瑽
jong 瘇
jong 種
jong 粽
jong 終
jong 綜
jong 縱
jong 腫
jong 螽
jong 踪
jong 踵
jong 蹤
jong 鍾
jong 鐘
ju 丟
ju 主
ju 住
ju 侏
ju 侜
ju 做
ju 儔
ju 周
ju 呪
ju 啄
ju 嗾
ju 奏
ju 姝
ju 宙
ju 尌
ju 州
ju 幬
ju 廚
ju 拄
ju 族
ju 晝
ju 朱
ju 枓
ju 柱
ju 株
ju 注
ju 洲
ju 湊
ju 澍
ju 炷
ju 珠
ju 疇
ju 硃
ju 籌
ju 籒
ju 紂
ju 紬
ju 綢
ju 肘
ju 胄
ju 腠
ju 舟
ju 蔟
ju 蛀
ju 蛛
ju 裯
ju 註
ju 詋
ju 誅
ju 調
ju 賙
ju 走
ju 趎
ju 足
ju 躊
ju 輈
ju 輳
ju 週
ju 遒
ju 酎
ju 酒
ju 鉒
ju 鑄
ju 霌
ju 霔
ju 駐
ju 鼄
juk 竹
juk 粥
jul 乼
jul 茁
jun 俊
jun 儁
jun 准
jun 噂
jun 埈
jun 埻
jun 墫
jun 寯
jun 尊
jun 屯
jun 峻
jun 惷
jun 撙
jun 晙
jun 樽
jun 浚
jun 準
jun 濬
jun 焌
jun 畯
jun 皴
jun 竣
jun 綧
jun 罇
jun 蠢
jun 踆
jun 蹲
jun 逡
jun 遁
jun 遵
jun 鐏
jun 隼
jun 雋
jun 餕
jun 駿
jun 鱒
jun 鵔
jung 中
jung 仲
jung 眾
jung 衆
jung 重
jwa 佐
jwa 剉
jwa 坐
jwa 左
jwa 座
jwa 挫
jwa 痤
jwa 莝
jwa 髽
kan 間
kki 氣
kkik 喫
kwae 噲
kwae 夬
kwae 快
ma 劘
ma 媽
ma 摩
ma 瑪
ma 痲
ma 碼
ma 磨
ma 螞
ma 蟇
ma 靡
ma 馬
ma 魔
ma 麻
ma 麽
ma 麿
mae 呆
mae 埋
mae 妹
mae 媒
mae 寐
mae 怰
mae 昧
mae 枚
mae 梅
mae 楳
mae 每
mae 沬
mae 煤
mae 玫
mae 瑁
mae 眛
mae 罵
mae 苺
mae 莓
mae 買
mae 賣
mae 邁
mae 酶
mae 霉
mae 魅
maek 百
maek 脈
maek 脉
maek 貃
maek 貊
maek 貘
maek 陌
maek 驀
maek 麥
maeng 儚
maeng 孟
maeng 氓
maeng 猛
maeng 甍
maeng 甿
maeng 盟
maeng 盲
maeng 萌
maeng 虻
mak 寞
mak 幕
mak 漠
mak 瞙
mak 膜
mak 莫
mak 貌
mak 邈
mak 鏌
mal 唜
mal 帕
mal 抹
mal 末
mal 沫
mal 秣
mal 茉
mal 襪
mal 靺
man 万
man 卍
man 墁
man 娩
man 嫚
man 巒
man 幔
man 彎
man 慢
man 挽
man 晩
man 曼
man 滿
man 漫
man 灣
man 瞞
man 縵
man 萬
man 蔓
man 蠻
man 謾
man 貫
man 蹣
man 輓
man 鏋
man 鏝
man 饅
man 鬘
man 鰻
mang 亡
mang 妄
mang 忘
mang 忙
mang 惘
mang 望
mang 汒
mang 漭
mang 網
mang 罔
mang 芒
mang 茫
mang 莽
mang 莾
mang 蟒
mang 輞
mang 邙
mang 魍
mi 亹
mi 味
mi 娓
mi 媄
mi 媚
mi 媺
mi 尾
mi 嵋
mi 弥
mi 弭
mi 彌
mi 微
mi 敉
mi 未
mi 梶
mi 楣
mi 洣
mi 渼
mi 湄
mi 瀰
mi 獼
mi 眉
mi 米
mi 糜
mi 縻
mi 美
mi 苿
mi 薇
mi 蘼
mi 謎
mi 迷
mi 靡
mi 麋
mi 黴
mil 密
mil 樒
mil 滵
mil 蜜
mil 謐
min 岷
min 忞
min 忟
min 悶
min 愍
min 慜
min 憫
min 敃
min 敏
min 旻
min 旼
min 暋
min 民
min 泯
min 湣
min 玟
min 珉
min 緍
min 緡
min 罠
min 苠
min 閔
min 閩
min 鰵
min 黽
mo 侔
mo 侮
mo 冒
mo 務
mo 募
mo 姆
mo 姥
mo 媢
mo 嫫
mo 帽
mo 恈
mo 慕
mo 摸
mo 摹
mo 旄
mo 暮
mo 某
mo 模
mo 毋
mo 母
mo 毛
mo 牟
mo 牡
mo 瑁
mo 皃
mo 眊
mo 眸
mo 矛
mo 粍
mo 糢
mo 耄
mo 耗
mo 膜
mo 芼
mo 茅
mo 莫
mo 蝥
mo 蟊
mo 謀
mo 謨
mo 貌
mo 鉾
mo 髦
mo 麰
mok 凩
mok 匹
mok 坶
mok 木
mok 沐
mok 牧
mok 目
mok 睦
mok 穆
mok 苜
mok 鶩
mol 勿
mol 歿
mol 沒
mong 夢
mong 幪
mong 懞
mong 曚
mong 朦
mong 溕
mong 濛
mong 瞢
mong 矇
mong 艨
mong 蒙
mong 雺
mong 鸏
mu 亡
mu 儛
mu 務
mu 嘸
mu 姆
mu 巫
mu 廡
mu 憮
mu 懋
mu 戊
mu 拇
mu 撫
mu 无
mu 楙
mu 武
mu 毋
mu 無
mu 珷
mu 畝
mu 繆
mu 膴
mu 舞
mu 茂
mu 蕪
mu 誣
mu 貿
mu 霧
mu 騖
mu 鵡
muk 冒
muk 嘿
muk 墨
muk 默
mul 勿
mul 沕
mul 物
mun 們
mun 免
mun 刎
mun 匁
mun 吻
mun 問
mun 娩
mun 悗
mun 懣
mun 抆
mun 捫
mun 文
mun 汶
mun 炆
mun 玧
mun 璊
mun 瞞
mun 紊
mun 紋
mun 聞
mun 蚊
mun 門
mun 雯
mye 袂
myeok 冪
myeok 幎
myeok 汨
myeok 糸
myeok 覓
myeol 滅
myeol 篾
myeol 蔑
myeol 衊
myeon 俛
myeon 免
myeon 冕
myeon 勉
myeon 棉
myeon 沔
myeon 湎
myeon 眄
myeon 眠
myeon 瞑
myeon 糆
myeon 綿
myeon 緜
myeon 緡
myeon 緬
myeon 面
myeon 麪
myeon 麵
myeong 冥
myeong 名
myeong 命
myeong 明
myeong 暝
myeong 椧
myeong 洺
myeong 溟
myeong 皿
myeong 瞑
myeong 茗
myeong 蓂
myeong 螟
myeong 酩
myeong 銘
myeong 鳴
myo 卯
myo 墓
myo 妙
myo 廟
myo 描
myo 昴
myo 杳
myo 淼
myo 渺
myo 猫
myo 畝
myo 眇
myo 秒
myo 竗
myo 苗
myo 藐
myo 貓
myo 錨
na 儺
na 喇
na 奈
na 娜
na 懦
na 懶
na 拏
na 拿
na 挐
na 挪
na 柰
na 梛
na 煖
na 癩
na 糥
na 糯
na 羅
na 蘿
na 螺
na 裸
na 邏
na 那
na 喇
na 奈
na 懶
na 癩
na 羅
na 蘿
na 螺
na 裸
na 邏
nae 乃
nae 來
nae 內
nae 匂
nae 奈
nae 奶
nae 嬭
nae 柰
nae 耐
nae 能
nae 迺
nae 那
nae 鼐
nae 來
naeng 冷
naeng 冷
nak 樂
nak 洛
nak 烙
nak 珞
nak 落
nak 諾
nak 酪
nak 駱
nak 樂
nak 洛
nak 烙
nak 珞
nak 落
nak 酪
nak 駱
nal 捏
nal 捺
nal 涅
nam 南
nam 喃
nam 娚
nam 嵐
nam 枏
nam 柟
nam 楠
nam 湳
nam 濫
nam 男
nam 藍
nam 襤
nam 嵐
nam 濫
nam 藍
nam 襤
nan 亂
nan 偄
nan 卵
nan 暖
nan 欄
nan 煖
nan 煗
nan 爛
nan 蘭
nan 赧
nan 難
nan 餪
nan 鸞
nan 亂
nan 卵
nan 欄
nan 爛
nan 蘭
nan 鸞
nang 囊
nang 娘
nang 廊
nang 曩
nang 朗
nang 浪
nang 狼
nang 郎
nang 廊
nang 朗
nang 浪
nang 狼
nang 郎
nap 內
nap 拉
nap 納
nap 臘
nap 蠟
nap 衲
nap 拉
nap 臘
nap 蠟
neuk 勒
neuk 肋
neuk 勒
neuk 肋
neum 凜
neum 凜
neung 凌
neung 淩
neung 稜
neung 綾
neung 能
neung 菱
neung 陵
neung 凌
neung 稜
neung 綾
neung 菱
neung 陵
nga 丫
nga 亞
nga 俄
nga 兒
nga 哦
nga 啞
nga 娥
nga 娿
nga 婀
nga 峨
nga 峩
nga 我
nga 牙
nga 疴
nga 砑
nga 笌
nga 芽
nga 莪
nga 蛾
nga 衙
nga 訝
nga 迓
nga 錏
nga 阿
nga 雅
nga 餓
nga 鴉
nga 鵝
nga 鵞
ngae 乂
ngae 僾
ngae 厓
ngae 哀
ngae 唉
ngae 啀
ngae 喝
ngae 噫
ngae 噯
ngae 埃
ngae 娭
ngae 崕
ngae 崖
ngae 愛
ngae 挨
ngae 捱
ngae 曖
ngae 欸
ngae 涯
ngae 漄
ngae 獃
ngae 皚
ngae 睚
ngae 瞹
ngae 碍
ngae 磑
ngae 礙
ngae 艾
ngae 薆
ngae 藹
ngae 隘
ngae 靄
ngae 靉
ngae 騃
ngaek 厄
ngaek 呝
ngaek 啞
ngaek 戹
ngaek 扼
ngaek 掖
ngaek 搤
ngaek 液
ngaek 縊
ngaek 腋
ngaek 阨
ngaek 隘
ngaek 額
ngaeng 嚶
ngaeng 嫈
ngaeng 櫻
ngaeng 罃
ngaeng 罌
ngaeng 鶯
ngaeng 鷪
ngaeng 鸚
ngak 偓
ngak 卾
ngak 咢
ngak 喔
ngak 噩
ngak 堊
ngak 岳
ngak 嶽
ngak 幄
ngak 惡
ngak 愕
ngak 握
ngak 樂
ngak 渥
ngak 腭
ngak 萼
ngak 覨
ngak 諤
ngak 鄂
ngak 鍔
ngak 顎
ngak 鰐
ngak 鶚
ngak 齶
ngak 齷
ngal 嘎
ngal 戞
ngal 按
ngal 揠
ngal 斡
ngal 穵
ngal 訐
ngal 謁
ngal 軋
ngal 遏
ngal 閼
ngal 頞
ngal 鴶
ngam 俺
ngam 唵
ngam 啽
ngam 媕
ngam 岩
ngam 嵓
ngam 巖
ngam 庵
ngam 晻
ngam 暗
ngam 癌
ngam 腤
ngam 菴
ngam 葊
ngam 蓭
ngam 諳
ngam 闇
ngam 陰
ngam 頷
ngam 馣
ngam 黯
ngan 安
ngan 岸
ngan 按
ngan 晏
ngan 案
ngan 桉
ngan 犴
ngan 眼
ngan 贋
ngan 雁
ngan 鞍
ngan 顔
ngan 鮟
ngan 鴈
ngang 仰
ngang 卬
ngang 坱
ngang 央
ngang 怏
ngang 昻
ngang 殃
ngang 泱
ngang 盎
ngang 秧
ngang 鞅
ngang 鴦
ngap 亞
ngap 壓
ngap 押
ngap 狎
ngap 甲
ngap 鴨
nge 恚
nge 曀
ngen 円
ngeo 吾
ngeo 圄
ngeo 圉
ngeo 御
ngeo 敔
ngeo 於
ngeo 淤
ngeo 漁
ngeo 瘀
ngeo 禦
ngeo 衙
ngeo 語
ngeo 飫
ngeo 馭
ngeo 魚
ngeo 齬
ngeok 億
ngeok 憶
ngeok 抑
ngeok 檍
ngeok 繶
ngeok 臆
ngeok 薏
ngeol 孼
ngeol 臬
ngeol 蘖
ngeom 俺
ngeom 儼
ngeom 嚴
ngeom 奄
ngeom 崦
ngeom 广
ngeom 掩
ngeom 曮
ngeom 淹
ngeom 罨
ngeom 醃
ngeom 閹
ngeon 偃
ngeon 傿
ngeon 匽
ngeon 堰
ngeon 嫣
ngeon 彦
ngeon 焉
ngeon 言
ngeon 諺
ngeon 讞
ngeon 鄢
ngeon 鼴
ngeon 鼹
ngeop 嶪
ngeop 嶫
ngeop 業
ngeop 鄴
ngeul 乙
ngeul 鳦
ngeum 吟
ngeum 喑
ngeum 崟
ngeum 廕
ngeum 愔
ngeum 淫
ngeum 蔭
ngeum 陰
ngeum 霪
ngeum 音
ngeum 飮
ngeun 听
ngeun 嚚
ngeun 圁
ngeun 圻
ngeun 垠
ngeun 垽
ngeun 恩
ngeun 慇
ngeun 憖
ngeun 檼
ngeun 殷
ngeun 沂
ngeun 溵
ngeun 狺
ngeun 珢
ngeun 癮
ngeun 言
ngeun 訔
ngeun 誾
ngeun 鄞
ngeun 銀
ngeun 隱
ngeun 齗
ngeung 凝
ngeung 應
ngeung 疑
ngeung 膺
ngeung 鷹
ngeup 悒
ngeup 挹
ngeup 揖
ngeup 泣
ngeup 浥
ngeup 邑
ngi 二
ngi 以
ngi 伊
ngi 利
ngi 吏
ngi 咿
ngi 坨
ngi 夷
ngi 如
ngi 姨
ngi 尔
ngi 履
ngi 已
ngi 弛
ngi 彛
ngi 彝
ngi 怡
ngi 施
ngi 易
ngi 李
ngi 栮
ngi 梨
ngi 泥
ngi 洟
ngi 爾
ngi 珆
ngi 珥
ngi 理
ngi 異
ngi 痍
ngi 痢
ngi 移
ngi 罹
ngi 而
ngi 耳
ngi 肄
ngi 苡
ngi 荑
ngi 蛇
ngi 裏
ngi 裡
ngi 訑
ngi 詑
ngi 貳
ngi 貽
ngi 迤
ngi 邇
ngi 里
ngi 隶
ngi 離
ngi 食
ngi 飴
ngi 餌
ngi 利
ngi 吏
ngi 履
ngi 易
ngi 李
ngi 梨
ngi 泥
ngi 理
ngi 痢
ngi 罹
ngi 裏
ngi 裡
ngi 里
ngi 離
ngik 匿
ngik 弋
ngik 溺
ngik 瀷
ngik 熤
ngik 益
ngik 翊
ngik 翌
ngik 翼
ngik 謚
ngik 鷁
ngik 匿
ngik 溺
ngil 一
ngil 佚
ngil 佾
ngil 壹
ngil 日
ngil 泆
ngil 溢
ngil 軼
ngil 迭
ngil 逸
ngil 鎰
ngil 馹
ngim 任
ngim 壬
ngim 妊
ngim 姙
ngim 媵
ngim 恁
ngim 林
ngim 淋
ngim 稔
ngim 絍
ngim 臨
ngim 荏
ngim 衽
ngim 賃
ngim 銋
ngim 飪
ngim 林
ngim 淋
ngim 臨
ngin 人
ngin 仁
ngin 仞
ngin 刃
ngin 印
ngin 吝
ngin 咽
ngin 因
ngin 堙
ngin 夤
ngin 姻
ngin 婣
ngin 寅
ngin 引
ngin 忍
ngin 扨
ngin 氤
ngin 洇
ngin 湮
ngin 燐
ngin 璘
ngin 禋
ngin 籾
ngin 絪
ngin 縯
ngin 芢
ngin 茵
ngin 藺
ngin 蚓
ngin 裀
ngin 認
ngin 隣
ngin 靭
ngin 靷
ngin 鱗
ngin 麟
ngin 吝
ngin 燐
ngin 璘
ngin 藺
ngin 隣
ngin 鱗
ngin 麟
nging 仍
nging 剩
nging 孕
nging 芿
ngip 入
ngip 卄
ngip 廿
ngip 立
ngip 笠
ngip 粒
ngip 立
ngip 笠
ngip 粒
ngo 五
ngo 仵
ngo 伍
ngo 俉
ngo 俣
ngo 傲
ngo 午
ngo 吳
ngo 吾
ngo 唔
ngo 嗚
ngo 嗷
ngo 噁
ngo 圬
ngo 塢
ngo 墺
ngo 夭
ngo 奧
ngo 娛
ngo 媪
ngo 嫯
ngo 寤
ngo 忤
ngo 悟
ngo 惡
ngo 慠
ngo 懊
ngo 捂
ngo 敖
ngo 於
ngo 旿
ngo 晤
ngo 梧
ngo 汙
ngo 汚
ngo 澳
ngo 烏
ngo 熬
ngo 獒
ngo 窹
ngo 筽
ngo 聱
ngo 茣
ngo 蜈
ngo 襖
ngo 誤
ngo 謷
ngo 迂
ngo 迃
ngo 迕
ngo 遨
ngo 鏊
ngo 鏖
ngo 隩
ngo 驁
ngo 魚
ngo 鰲
ngo 鼇
ngo 鼯
ngo 惡
ngoe 偎
ngoe 外
ngoe 威
ngoe 崴
ngoe 嵔
ngoe 嵬
ngoe 巍
ngoe 渨
ngoe 煨
ngoe 猥
ngoe 畏
ngoe 碨
ngoe 磈
ngoe 聵
ngoe 隗
ngok 屋
ngok 沃
ngok 獄
ngok 玉
ngok 鈺
ngok 阿
ngol 兀
ngol 嗢
ngol 膃
ngon 媼
ngon 慍
ngon 昷
ngon 氳
ngon 溫
ngon 熅
ngon 瑥
ngon 瘟
ngon 穩
ngon 縕
ngon 薀
ngon 蘊
ngon 轀
ngon 醞
ngon 韞
ngon 饂
ngon 鰮
ngong 喁
ngong 壅
ngong 廱
ngong 擁
ngong 滃
ngong 瓮
ngong 甕
ngong 癕
ngong 癰
ngong 禺
ngong 罋
ngong 翁
ngong 蓊
ngong 邕
ngong 雍
ngong 雝
ngong 顒
ngong 饔
ngu 于
ngu 亏
ngu 亴
ngu 佑
ngu 俁
ngu 偊
ngu 偶
ngu 優
ngu 區
ngu 又
ngu 友
ngu 右
ngu 吁
ngu 堣
ngu 宇
ngu 寓
ngu 尤
ngu 嵎
ngu 庽
ngu 愚
ngu 憂
ngu 旴
ngu 杅
ngu 牛
ngu 玗
ngu 瑀
ngu 疣
ngu 盂
ngu 盱
ngu 祐
ngu 禑
ngu 禹
ngu 竽
ngu 紆
ngu 羽
ngu 耦
ngu 耰
ngu 芋
ngu 藕
ngu 虞
ngu 謣
ngu 踽
ngu 迂
ngu 遇
ngu 郵
ngu 釪
ngu 鍝
ngu 隅
ngu 雨
ngu 雩
ngu 麀
ngu 麌
ngu 齲
ngui 依
ngui 倚
ngui 儀
ngui 儗
ngui 凒
ngui 劓
ngui 宜
ngui 嶷
ngui 意
ngui 懿
ngui 擬
ngui 椅
ngui 欹
ngui 歪
ngui 毅
ngui 漪
ngui 猗
ngui 疑
ngui 矣
ngui 礒
ngui 義
ngui 艤
ngui 薏
ngui 蛾
ngui 螘
ngui 蟻
ngui 衣
ngui 誼
ngui 議
ngui 醫
ngui 錡
ngui 饐
nguk 勖
nguk 奧
nguk 彧
nguk 拗
nguk 旭
nguk 昱
nguk 栯
nguk 澳
nguk 煜
nguk 燠
nguk 稶
nguk 郁
nguk 頊
ngul 亐
ngul 尉
ngul 苑
ngul 蔚
ngul 鬱
ngun 云
ngun 員
ngun 惲
ngun 暈
ngun 橒
ngun 殞
ngun 沄
ngun 澐
ngun 煇
ngun 熉
ngun 篔
ngun 紜
ngun 耘
ngun 芸
ngun 蕓
ngun 運
ngun 隕
ngun 雲
ngun 霣
ngun 韵
ngun 韻
ngun 暈
ngung 熊
ngung 雄
ngwa 哇
ngwa 囮
ngwa 娃
ngwa 婐
ngwa 枙
ngwa 汚
ngwa 洼
ngwa 渦
ngwa 猧
ngwa 瓦
ngwa 窊
ngwa 窩
ngwa 窪
ngwa 臥
ngwa 萵
ngwa 蛙
ngwa 蝸
ngwa 訛
ngwa 譌
ngwae 倭
ngwae 娃
ngwae 媧
ngwae 歪
ngwae 矮
ngwae 蛙
ngwal 曰
ngwan 刓
ngwan 垸
ngwan 妧
ngwan 婉
ngwan 完
ngwan 宛
ngwan 岏
ngwan 忨
ngwan 惋
ngwan 梡
ngwan 椀
ngwan 浣
ngwan 涴
ngwan 玩
ngwan 琓
ngwan 琬
ngwan 盌
ngwan 碗
ngwan 緩
ngwan 翫
ngwan 脘
ngwan 腕
ngwan 莞
ngwan 豌
ngwan 阮
ngwan 頑
ngwang 尫
ngwang 往
ngwang 旺
ngwang 枉
ngwang 汪
ngwang 瀇
ngwang 王
ngwang 迬
ngwi 位
ngwi 偉
ngwi 僞
ngwi 危
ngwi 喟
ngwi 圍
ngwi 委
ngwi 威
ngwi 尉
ngwi 幃
ngwi 慰
ngwi 暐
ngwi 渭
ngwi 煒
ngwi 熨
ngwi 爲
ngwi 瑋
ngwi 痿
ngwi 緯
ngwi 胃
ngwi 萎
ngwi 葦
ngwi 葳
ngwi 蔿
ngwi 蝟
ngwi 衛
ngwi 衞
ngwi 褘
ngwi 諉
ngwi 謂
ngwi 逶
ngwi 違
ngwi 闈
ngwi 韋
ngwi 韙
ngwi 韡
ngwi 餧
ngwi 骪
ngwi 魏
ngwol 刖
ngwol 曰
ngwol 月
ngwol 粤
ngwol 越
ngwol 鉞
ngwon 京
ngwon 元
ngwon 円
ngwon 冤
ngwon 原
ngwon 員
ngwon 園
ngwon 圓
ngwon 圜
ngwon 垣
ngwon 媛
ngwon 嫄
ngwon 寃
ngwon 怨
ngwon 愿
ngwon 援
ngwon 杬
ngwon 楥
ngwon 沅
ngwon 洹
ngwon 湲
ngwon 源
ngwon 爰
ngwon 猨
ngwon 猿
ngwon 瑗
ngwon 綩
ngwon 芫
ngwon 苑
ngwon 薗
ngwon 蜿
ngwon 袁
ngwon 謜
ngwon 轅
ngwon 遠
ngwon 鋺
ngwon 阮
ngwon 院
ngwon 隕
ngwon 願
ngwon 騵
ngwon 鴛
ngwon 鵷
ngwon 黿
ngwon 阮
ngya 也
ngya 倻
ngya 冶
ngya 埜
ngya 夜
ngya 惹
ngya 揶
ngya 斜
ngya 椰
ngya 爺
ngya 耶
ngya 若
ngya 野
ngya 若
ngyak 弱
ngyak 掠
ngyak 爚
ngyak 略
ngyak 禴
ngyak 篛
ngyak 籥
ngyak 約
ngyak 若
ngyak 葯
ngyak 蒻
ngyak 藥
ngyak 躍
ngyak 鑰
ngyak 鰯
ngyak 鶸
ngyak 龠
ngyak 掠
ngyak 略
ngyang 亮
ngyang 佯
ngyang 俍
ngyang 兩
ngyang 凉
ngyang 壤
ngyang 孃
ngyang 徉
ngyang 恙
ngyang 揚
ngyang 攘
ngyang 敭
ngyang 暘
ngyang 梁
ngyang 楊
ngyang 樣
ngyang 洋
ngyang 湯
ngyang 漾
ngyang 瀁
ngyang 瀼
ngyang 烊
ngyang 煬
ngyang 痒
ngyang 瘍
ngyang 癢
ngyang 眻
ngyang 禳
ngyang 穰
ngyang 糧
ngyang 羊
ngyang 良
ngyang 蘘
ngyang 襄
ngyang 詳
ngyang 諒
ngyang 讓
ngyang 輰
ngyang 釀
ngyang 量
ngyang 鑲
ngyang 陽
ngyang 颺
ngyang 養
ngyang 驤
ngyang 亮
ngyang 兩
ngyang 凉
ngyang 梁
ngyang 糧
ngyang 良
ngyang 諒
ngyang 量
ngye 乂
ngye 例
ngye 倪
ngye 兒
ngye 刈
ngye 叡
ngye 囈
ngye 嫛
ngye 拽
ngye 掜
ngye 曳
ngye 枘
ngye 汭
ngye 泄
ngye 濊
ngye 猊
ngye 獩
ngye 睨
ngye 睿
ngye 瞖
ngye 禮
ngye 穢
ngye 繄
ngye 翳
ngye 艾
ngye 芮
ngye 苅
ngye 蕊
ngye 蕋
ngye 薉
ngye 藝
ngye 蘂
ngye 蚋
ngye 蜺
ngye 裔
ngye 詣
ngye 譽
ngye 豫
ngye 醴
ngye 銳
ngye 隷
ngye 隸
ngye 霓
ngye 預
ngye 鯢
ngye 鷖
ngye 麑
ngye 例
ngye 禮
ngye 醴
ngye 隸
ngyeo 予
ngyeo 余
ngyeo 勵
ngyeo 呂
ngyeo 女
ngyeo 如
ngyeo 廬
ngyeo 旅
ngyeo 歟
ngyeo 汝
ngyeo 濾
ngyeo 璵
ngyeo 礖
ngyeo 礪
ngyeo 舁
ngyeo 與
ngyeo 艅
ngyeo 茹
ngyeo 輿
ngyeo 轝
ngyeo 邪
ngyeo 闾
ngyeo 除
ngyeo 餘
ngyeo 驪
ngyeo 麗
ngyeo 黎
ngyeo 勵
ngyeo 呂
ngyeo 女
ngyeo 廬
ngyeo 旅
ngyeo 濾
ngyeo 礪
ngyeo 閭
ngyeo 驪
ngyeo 麗
ngyeo 黎
ngyeok 亦
ngyeok 力
ngyeok 域
ngyeok 射
ngyeok 嶧
ngyeok 役
ngyeok 懌
ngyeok 易
ngyeok 曆
ngyeok 歷
ngyeok 淢
ngyeok 疫
ngyeok 繹
ngyeok 譯
ngyeok 轢
ngyeok 逆
ngyeok 閾
ngyeok 驛
ngyeok 力
ngyeok 曆
ngyeok 歷
ngyeok 轢
ngyeol 列
ngyeol 劣
